country	iso3	region
Aruba	ABW	REST
Afghanistan	AFG	REST
Angola	AGO	REST
Anguilla	AIA	REST
Albania	ALB	REST
Andorra	AND	REST
Neth. Antilles	ANT	REST
United Arab Emirates	ARE	REST
Argentina	ARG	REST
Armenia	ARM	REST
American Samoa	ASM	REST
Antarctica	ATA	REST
Fr. South Antarctic Terr.	ATF	REST
Antigua and Barbuda	ATG	REST
Australia	AUS	REST
Austria	AUT	EU
Azerbaijan	AZE	REST
Burundi	BDI	REST
Belgium	BEL	EU
Benin	BEN	REST
Bonaire	BES	REST
Burkina Faso	BFA	REST
Bangladesh	BGD	REST
Bulgaria	BGR	EU
Bahrain	BHR	REST
Bahamas	BHS	REST
Bosnia Herzegovina	BIH	REST
Belarus	BLR	REST
Belize	BLZ	REST
Bermuda	BMU	REST
Bolivia	BOL	REST
Brazil	BRA	REST
Barbados	BRB	REST
Brunei Darussalam	BRN	REST
Bhutan	BTN	REST
Bouvet Island	BVT	REST
Botswana	BWA	REST
Central African Rep.	CAF	REST
Canada	CAN	REST
Cocos Isds	CCK	REST
Switzerland	CHE	REST
Chile	CHL	REST
China	CHN	REST
Côte d'Ivoire	CIV	REST
Cameroon	CMR	REST
Dem. Rep. of the Congo	COD	REST
Congo	COG	REST
Cook Isds	COK	REST
Colombia	COL	REST
Comoros	COM	REST
Cabo Verde	CPV	REST
Costa Rica	CRI	REST
Czechoslovakia	CSK	EU
Cuba	CUB	REST
Curaçao	CUW	REST
Christmas Isds	CXR	REST
Cayman Isds	CYM	REST
Cyprus	CYP	EU
Czech Rep.	CZE	EU
Fmr Dem. Rep. of Germany	DDR	EU
Germany	DEU	EU
Djibouti	DJI	REST
Dominica	DMA	REST
Denmark	DNK	EU
Dominican Rep.	DOM	REST
Algeria	DZA	REST
Ecuador	ECU	REST
Egypt	EGY	REST
Eritrea	ERI	REST
Western Sahara	ESH	REST
Spain	ESP	EU
Estonia	EST	EU
Ethiopia	ETH	REST
EU-27	EU2	EU
Finland	FIN	EU
Fiji	FJI	REST
Falkland Isds (Malvinas)	FLK	REST
France	FRA	EU
Faeroe Isds	FRO	REST
Micronesia	FSM	REST
Gabon	GAB	REST
United Kingdom	GBR	EU
Georgia	GEO	REST
Ghana	GHA	REST
Gibraltar	GIB	REST
Guinea	GIN	REST
Guadeloupe	GLP	REST
Gambia	GMB	REST
Guinea-Bissau	GNB	REST
Equatorial Guinea	GNQ	REST
Greece	GRC	EU
Grenada	GRD	REST
Greenland	GRL	REST
Guatemala	GTM	REST
French Guiana	GUF	REST
Guam	GUM	REST
Guyana	GUY	REST
China, Hong Kong SAR	HKG	REST
Heard Island and McDonald Islands	HMD	REST
Honduras	HND	REST
Croatia	HRV	EU
Haiti	HTI	REST
Hungary	HUN	EU
Indonesia	IDN	REST
India	IND	REST
Br. Indian Ocean Terr.	IOT	REST
Ireland	IRL	EU
Iran	IRN	REST
Iraq	IRQ	REST
Iceland	ISL	REST
Israel	ISR	REST
Italy	ITA	EU
Jamaica	JAM	REST
Jordan	JOR	REST
Japan	JPN	REST
Kazakhstan	KAZ	REST
Kenya	KEN	REST
Kyrgyzstan	KGZ	REST
Cambodia	KHM	REST
Kiribati	KIR	REST
Saint Kitts and Nevis	KNA	REST
Rep. of Korea	KOR	REST
Kuwait	KWT	REST
Lao People's Dem. Rep.	LAO	REST
Lebanon	LBN	REST
Liberia	LBR	REST
Libya	LBY	REST
Saint Lucia	LCA	REST
Sri Lanka	LKA	REST
Lesotho	LSO	REST
Lithuania	LTU	EU
Luxembourg	LUX	EU
Latvia	LVA	EU
China, Macao SAR	MAC	REST
Morocco	MAR	REST
Rep. of Moldova	MDA	REST
Madagascar	MDG	REST
Maldives	MDV	REST
Mexico	MEX	REST
Marshall Isds	MHL	REST
TFYR of Macedonia	MKD	REST
Mali	MLI	REST
Malta	MLT	EU
Myanmar	MMR	REST
Montenegro	MNE	REST
Mongolia	MNG	REST
N. Mariana Isds	MNP	REST
Mozambique	MOZ	REST
Mauritania	MRT	REST
Montserrat	MSR	REST
Martinique	MTQ	REST
Mauritius	MUS	REST
Malawi	MWI	REST
Malaysia	MYS	REST
Mayotte	MYT	REST
Namibia	NAM	REST
New Caledonia	NCL	REST
Niger	NER	REST
Norfolk Isds	NFK	REST
Nigeria	NGA	REST
Nicaragua	NIC	REST
Niue	NIU	REST
Netherlands	NLD	EU
Norway	NOR	REST
Nepal	NPL	REST
Nauru	NRU	REST
Br. Antarctic Terr.		REST
New Zealand	NZL	REST
Oman	OMN	REST
Pakistan	PAK	REST
Panama	PAN	REST
Fmr Pacific Isds	PCI	REST
Pitcairn	PCN	REST
Fmr Panama-Canal-Zone	PCZ	REST
Peru	PER	REST
Philippines	PHL	REST
Palau	PLW	REST
Papua New Guinea	PNG	REST
Poland	POL	EU
Dem. People's Rep. of Korea	PRK	REST
Portugal	PRT	EU
Paraguay	PRY	REST
State of Palestine	PSE	REST
French Polynesia	PYF	REST
Qatar	QAT	REST
Réunion	REU	REST
Romania	ROU	EU
Russian Federation	RUS	RU
Rwanda	RWA	REST
Saudi Arabia	SAU	REST
Serbia and Montenegro	SCG	REST
Sudan	SDN	REST
Senegal	SEN	REST
Singapore	SGP	REST
South Georgia and the South Sandwich Islands	SGS	REST
Saint Helena	SHN	REST
Solomon Isds	SLB	REST
Sierra Leone	SLE	REST
El Salvador	SLV	REST
San Marino	SMR	REST
Somalia	SOM	REST
Saint Pierre and Miquelon	SPM	REST
Serbia	SRB	REST
South Sudan	SSD	REST
Sao Tome and Principe	STP	REST
Fmr USSR	SUN	REST
Suriname	SUR	REST
Slovakia	SVK	EU
Slovenia	SVN	EU
Sweden	SWE	EU
Swaziland	SWZ	REST
Saint Maarten	SXM	REST
Seychelles	SYC	REST
Syria	SYR	REST
Turks and Caicos Isds	TCA	REST
Chad	TCD	REST
Togo	TGO	REST
Thailand	THA	REST
Tajikistan	TJK	REST
Tokelau	TKL	REST
Turkmenistan	TKM	REST
Timor-Leste	TLS	REST
Tonga	TON	REST
Trinidad and Tobago	TTO	REST
Tunisia	TUN	REST
Turkey	TUR	REST
Tuvalu	TUV	REST
United Rep. of Tanzania	TZA	REST
Uganda	UGA	REST
Ukraine	UKR	UKR
United States Minor Outlying Islands	UMI	REST
Uruguay	URY	REST
USA	USA	REST
Uzbekistan	UZB	REST
Holy See (Vatican City State)	VAT	REST
Saint Vincent and the Grenadines	VCT	REST
Fmr Dem. Rep. of Vietnam	VDR	REST
Venezuela	VEN	REST
Br. Virgin Isds	VGB	REST
US Virgin Isds	VIR	REST
Viet Nam	VNM	REST
Vanuatu	VUT	REST
World	WLD	WORLD
Wallis and Futuna Isds	WLF	REST
Samoa	WSM	REST
Yemen	YEM	REST
Fmr Dem. Yemen	YMD	REST
Fmr Yugoslavia	YUG	REST
South Africa	ZAF	REST
Zambia	ZMB	REST
Zimbabwe	ZWE	REST
